,Aired,Duration,English,Episodes,Genres,Jap,Licensors,Producers,Ranked,Rating,Score,Source,Type
11750, 1999, 12 min.,nan, 1,"Drama, Kids", 七つのほし,"    None found, add some ",Gakken ,  #11751, G - All Ages,6.151 , Unknown,OVA
11751," Dec, 2013", 5 min.,nan, 1,Music, 七つの海,"    None found, add some ",NHK ,  #11752, G - All Ages,4.111 , Original,  Music
11752," Jun, 2001", 45 min. per ep.,nan, 2,"Adventure, Slice of Life", 世界名作劇場・完結版 七つの海のティコ,"    None found, add some ",Bandai Visual ,  #11753, G - All Ages,6.521 , Unknown,Special
11753," Oct 21, 1994", 28 min. per ep.,nan, 3,"Kids, Slice of Life", 七つ子ねずみシリーズ,"    None found, add some ","    None found, add some ",  #11754, G - All Ages,3.671 , Picture book,OVA
11754," May 28, 1993", 45 min.,nan, 1,"Action, Comedy", なんぼのもんじゃい！２　ヤンキー愚連隊,"    None found, add some ",KSS ,  #11755, None,5.751 , Unknown,OVA
11755," Dec 21, 1992", 45 min.,nan, 1,"Action, Comedy", なんぼのもんじゃい! ヤンキー愚連隊,"    None found, add some ",KSS ,  #11756, None,5.731 , Unknown,OVA
11756," May 14, 2010", 1 min. per ep.,nan, 2,"Parody, Comedy", なんちゃって!,"    None found, add some ","    None found, add some ",  #11757, G - All Ages,3.821 , Unknown,ONA
11757," Jun 7, 2015", 3 min., Nandaku-mou, 1,Music, なんだかもう,"    None found, add some ",Hipland Music Corporation ,  #11758, G - All Ages,4.381 , Music,  Music
11758," Aug 28, 2013 to Oct 23, 2013", 1 min. per ep.,nan, 2,Comedy, 何の役にも立たない空っぽな話,"    None found, add some ","    None found, add some ",  #11759, G - All Ages,3.701 , Radio,ONA
11759," Sep 22, 1993 to May 27, 1994", 45 min. per ep.,nan, 2,"Comedy, Drama, Seinen", 難波金融伝 ミナミの帝王,"    None found, add some ",KSS ,  #11760, R+ - Mild Nudity,5.751 , Unknown,OVA
11760," Mar 13, 1992", 1 hr.,nan, 1,"Action, Comedy", なにわ遊侠伝,"    None found, add some ","    None found, add some ",  #11761, R+ - Mild Nudity,5.821 , Unknown,OVA
11761," Jan 8, 1993", 59 min.,nan, 1,"Action, Comedy", なにわ遊侠伝: 超極道!夜のバットはマン塁篇,"    None found, add some ","    None found, add some ",  #11762, None,7.171 , Unknown,OVA
11762," Jul 25, 1993", 58 min.,nan, 1,"Action, Comedy", なにわ遊侠伝: 完結篇,"    None found, add some ","    None found, add some ",  #11763, None,6.541 , Unknown,OVA
11763," May 25, 1993", 59 min.,nan, 1,"Action, Comedy", なにわ遊侠伝: 強烈!アナがあったら入れたい篇,"    None found, add some ","    None found, add some ",  #11764, None,6.671 , Unknown,OVA
11764," Oct 25, 1992", 58 min.,nan, 1,"Action, Comedy", なにわ遊侠伝: 熱血!!爆笑マン開篇,"    None found, add some ","    None found, add some ",  #11765, None,6.711 , Unknown,OVA
11765," Feb 7, 1982", 54 min.,nan, 1,"Historical, Drama, Sports", 浪花節大好き,"    None found, add some ","    None found, add some ",  #11766, PG-13 - Teens 13 or older,6.221 , Unknown,Special
11766," Dec 6, 1994", 5 min.,nan, 1,"Kids, Horror", なんじゃもんじゃおばけ,"    None found, add some ",NHK ,  #11767, PG - Children,5.201 , Unknown,Special
11767," Oct 10, 2014 to Oct 4, 2015", 25 min. per ep.,nan, 52,"Action, Adventure, Shounen, Super Power", ナノ・インベーダーズ,"    None found, add some ",TV Tokyo ,  #11768, PG - Children,6.211 , Original,TV
11768," Apr 8, 2016 to Oct 10, 2016", 23 min. per ep.,nan, 10,"Action, Sci-Fi", 纳米核心 - 第二季 - 第一集,"    None found, add some ",Coastline Animation Studio ,  #11769, PG-13 - Teens 13 or older,6.971 , Original,ONA
11769," Aug 2, 2017 to Dec 20, 2017", 15 min. per ep., Nanocore 3rd Season, 20,"Action, Sci-Fi, Adventure, Mecha, Shounen", 纳米核心 黄昏篇,"    None found, add some ","    None found, add some ",  #11770, PG-13 - Teens 13 or older,6.931 , Original,ONA
11770," Feb 8, 2015 to Mar 1, 2015", 3 min. per ep.,nan, 2,"Comedy, Sci-Fi", 纳米核心 - NG镜头 - 纳米的日,"    None found, add some ",Coastline Animation Studio ,  #11771, PG-13 - Teens 13 or older,5.061 , Original,ONA
11771, 1995, 20 min.,nan, 1,"Drama, Historical, Kids", 菜の花,"    None found, add some ","    None found, add some ",  #11772, G - All Ages,6.331 , Unknown,OVA
11772, 1995, 1 hr. 36 min.,nan, 1,"Drama, Historical", ナヌムの家,"    None found, add some ","    None found, add some ",  #11773, PG - Children,6.001 , Other,Movie
11773," Nov 1, 2015", Unknown,nan, 1,Comedy, ナルどマ マナームービー,"    None found, add some ",comico ,  #11774, G - All Ages,4.271 , Web manga,Movie
11774," Nov 13, 2015", Unknown,nan, 1,Comedy, ナルどマ 少女に優しい俺が好き,"    None found, add some ",comico ,  #11775, PG-13 - Teens 13 or older,5.921 , Web manga,Special
11775," Apr 3, 2015 to ?", 3 min.,nan, Unknown,"Comedy, Music", 奈良市×井上涼,"    None found, add some ","    None found, add some ",  #11776, G - All Ages,4.551 , Original,Special
11776," Aug 21, 1990 to Jan 11, 2002", 22 min. per ep., The Flying Superboard, 54,"Action, Adventure, Comedy", 날아라 슈퍼보드,"    None found, add some ",KBS ,  #11777, PG - Children,6.231 , Manga,TV
11777," Jul 31, 1978", 1 hr. 20 min.,nan, 1,"Action, Adventure, Sci-Fi, Space, Super Power", 날아라원더공주,"    None found, add some ","    None found, add some ",  #11778, PG-13 - Teens 13 or older,3.571 , Unknown,Movie
11778," Jul 24, 2004", 1 hr. 30 min.,nan, 1,"Action, Adventure, Sci-Fi, Shounen", 날으는 돼지 해적 마테오,"    None found, add some ","    None found, add some ",  #11779, PG - Children,4.671 , Unknown,Movie
11779," Jun 6, 1987", 18 min.,nan, 1,"Historical, Kids", なっちゃんの赤いてぶくろ,"    None found, add some ","    None found, add some ",  #11780, G - All Ages,7.331 , Unknown,Movie
11780," Oct 9, 2014", 6 min.,nan, 1,Music, 夏の銀景,"    None found, add some ",Toy's Factory ,  #11781, G - All Ages,4.431 , Music,  Music
11781," Jul 2, 2018", 5 min.,nan, 1,School, 夏をやりなおす,"    None found, add some ","    None found, add some ",  #11782, PG-13 - Teens 13 or older,7.361 , Original,Movie
11782," Sep 29, 2018", 1 hr. 44 min., Natsume Yujin-cho the Movie: Ephemeral Bond, 1,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural", 劇場版 夏目友人帳 ～うつせみに結ぶ～,Aniplex of America ,Aniplex ,  #11783, PG-13 - Teens 13 or older,8.231 , Manga,Movie
11783," Feb, 2012", Unknown,nan, 1,"Kids, Music", なぜ,"    None found, add some ",NHK ,  #11784, G - All Ages,4.701 , Unknown,  Music
11784," May 21, 2016", 1 hr. 23 min.,nan, 1,Historical, なぜ生きる─蓮如上人と吉崎炎上─,"    None found, add some ",Miracle Bus ,  #11785, None,5.681 , Book,Movie
11786," Apr, 2017", 3 min.,nan, 1,"Music, Kids", 願いごとの持ち腐れ,"    None found, add some ",NHK ,  #11787, G - All Ages,5.801 , Unknown,  Music
11787," Oct 12, 2008 to Sep 27, 2009", 20 min. per ep.,nan, 48,"Adventure, Comedy, Historical", ねぎぼうずのあさたろう,"    None found, add some ","    None found, add some ",  #11788, None,6.311 , Picture book,TV
11788," Jul 11, 2014 to Sep 26, 2014", 16 min. per ep.,nan, 3,"Parody, Comedy, Mystery", 熱血人面犬 Life is Movie,"    None found, add some ",CoMix Wave Films ,  #11789, PG-13 - Teens 13 or older,5.731 , Unknown,OVA
11789," Aug 2, 2015 to Sep 24, 2015", Unknown,nan, 13,"Comedy, Slice of Life", 猫絵日記,"    None found, add some ",comico ,  #11790, G - All Ages,6.751 , Web manga,TV
11790," Jun 8, 2016 to ?", 1 min.,nan, Unknown,Comedy, ネコこのゴロ,"    None found, add some ","    None found, add some ",  #11791, None,3.741 , Manga,TV
11791," Aug 13, 2015 to Nov 16, 2015", 1 min. per ep., Cat Cat Gong Show, 6,Kids, ネコネコ ゴングショー,"    None found, add some ","    None found, add some ",  #11792, G - All Ages,5.361 , Original,ONA
11792," Apr 5, 2017 to Feb 28, 2018", 9 min. per ep.,nan, 32,"Historical, Kids, Parody", ねこねこ日本史,"    None found, add some ","NHK,       Neft Film ",  #11793, None,5.651 , Web manga,TV
11793," Apr 4, 2018 to ?", 9 min.,nan, Unknown,"Historical, Kids, Parody", ねこねこ日本史 第3期,"    None found, add some ","    None found, add some ",  #11794, None,6.671 , Web manga,TV
11794," Apr 26, 2014 to Apr 25, 2015", 3 min. per ep.,nan, 52,"Kids, Magic", 猫のダヤン,"    None found, add some ",Sotsu ,  #11795, G - All Ages,5.521 , Novel,TV
11795," Oct 14, 2017 to May 3, 2018", 3 min. per ep.,nan, 30,Kids, 猫のダヤン (2017),"    None found, add some ","    None found, add some ",  #11796, G - All Ages,6.291 , Picture book,TV
11796," Oct 1, 2016 to Apr 20, 2017", 3 min. per ep.,nan, 30,Kids, 猫のダヤン ふしぎ劇場,"    None found, add some ","    None found, add some ",  #11797, G - All Ages,5.381 , Picture book,TV
11797," Oct 17, 2015 to Jan 9, 2016", Unknown,nan, 12,Kids, 猫のダヤン　日本へ行く,"    None found, add some ","    None found, add some ",  #11798, G - All Ages,6.401 , Picture book,TV
11798, Not available, 14 min.,nan, 1,Historical, ネコの国の憲法,"    None found, add some ","    None found, add some ",  #11799, G - All Ages,6.001 , Original,OVA
11799," May 6, 2017 to ?", 1 min.,nan, Unknown,"Comedy, Slice of Life", 猫のロブ,"    None found, add some ","Gakken,       MMDGP ",  #11800, G - All Ages,5.711 , Original,TV
11800," Mar 18, 2012", 5 min.,nan, 1,Drama, 猫の棲む島,"    None found, add some ",Ashi Production ,  #11801, G - All Ages,5.191 , Unknown,Special
11801," May 3, 2014 to Mar 29, 2016", 2 min. per ep.,nan, 51,"Comedy, Sports, Kids", 猫ピッチャー,"    None found, add some ","    None found, add some ",  #11802, G - All Ages,6.551 , 4-koma manga,TV
11802," Apr 21, 2017 to ?", 42 sec.,nan, Unknown,Supernatural, ね子とま太,"    None found, add some ","Fuji TV,       Creek & River ",  #11803, G - All Ages,5.461 , Original,TV
11803," Jul 4, 1917", Unknown,nan, 1,Comedy, 猫と鼠,"    None found, add some ","    None found, add some ",  #11804, G - All Ages,6.731 , Original,Movie
11804," Jun 21, 1975", 1 hr. 10 min.,nan, 1,"Kids, Historical, Drama", 猫は生きている,"    None found, add some ","    None found, add some ",  #11805, G - All Ages,7.171 , Unknown,Movie
11805," May 14, 2016", 16 sec. per ep.,nan, 4,Comedy, ねころんでID,"    None found, add some ",Nippon Television Network ,  #11806, G - All Ages,3.811 , Original,Special
11806," Nov 7, 2013 to Jun 9, 2014", 1 min. per ep.,nan, 14,Comedy, ねころんで見てね。,"    None found, add some ",Nippon Television Network ,  #11807, G - All Ages,4.451 , Unknown,ONA
11807, 2014, 4 min. per ep.,nan, 12,Comedy, ねころんでテレビ。,"    None found, add some ",Nippon Television Network ,  #11808, G - All Ages,5.061 , Unknown,TV
11808," Apr 24, 1992 to Oct 23, 1992", 33 min. per ep.,nan, 3,Kids, 眠れぬ夜の小さなお話,"    None found, add some ","    None found, add some ",  #11809, G - All Ages,6.381 , Unknown,OVA
11809," Oct 4, 2015", 5 min., Sleeping Beauty, 1,Music, ネムリヒメ,"    None found, add some ","    None found, add some ",  #11810, G - All Ages,4.911 , Original,  Music
11810," Apr, 1993 to 1993", 30 min. per ep.,nan, 7,Historical, 念仏物語,"    None found, add some ","    None found, add some ",  #11811, G - All Ages,7.001 , Other,OVA
11811, 2005, 51 min. per ep.,nan, 2,"Adventure, Demons, Fantasy, Historical, Kids, Magic, Supernatural", 年中行事アニメーションシリーズ,"    None found, add some ","    None found, add some ",  #11812, G - All Ages,5.201 , Other,OVA
11812," Jan 31, 2005 to Jul 25, 2005", 6 min. per ep., Nepos Napos, 26,"Kids, Fantasy", ネポス・ナポス,"    None found, add some ","    None found, add some ",  #11813, PG - Children,6.501 , Unknown,TV
11813," Mar 20, 2011", 5 min.,nan, 1,Music, 寝れない!!!,"    None found, add some ","    None found, add some ",  #11814, PG - Children,4.311 , Music,  Music
11814," May 28, 2014", 4 min., Never Shined, 1,Music, NEVER SHINED,"    None found, add some ",Toy's Factory ,  #11815, G - All Ages,3.081 , Music,  Music
11815, 1961, 13 min.,nan, 1,"Kids, Fantasy", ねずみのよめいり,"    None found, add some ","    None found, add some ",  #11816, G - All Ages,5.041 , Original,Movie
11816," Jul 21, 1997 to Jan 21, 2000", 20 min. per ep.,nan, 4,Kids, ねずみくんのチョッキ,"    None found, add some ","    None found, add some ",  #11817, G - All Ages,5.501 , Unknown,OVA
