,Aired,Duration,English,Episodes,Genres,Jap,Licensors,Producers,Ranked,Rating,Score,Source,Type
1429," Apr 3, 2016 to Sep 11, 2016", 23 min. per ep., Mobile Suit Gundam Unicorn RE:0096, 22,"Action, Drama, Mecha, Military, Sci-Fi, Space", 機動戦士ガンダムUC（ユニコーン）RE:0096,NYAV Post ,"Bandai Visual,       Sotsu,       Kadokawa Shoten,       Asatsu DK,       Tohokushinsha Film Corporation,       Nagoya TV Housou ",  #1430, PG-13 - Teens 13 or older,7.581 , Novel,TV
1430," Feb 3, 2002 to Jan 26, 2003", 24 min. per ep., Useless Witch Doremi Kaboom!, 51,"Comedy, Magic, Shoujo", おジャ魔女どれみドッカ〜ン！,"    None found, add some ",Asahi Broadcasting ,  #1431, G - All Ages,7.581 , Unknown,TV
1431," Dec 20, 2012", 30 min.,nan, 1,"Action, Comedy, Super Power, Fantasy, Shounen", ワンピース ロマンスドーン,"    None found, add some ",Shueisha ,  #1432, PG-13 - Teens 13 or older,7.581 , Manga,OVA
1432," Apr 5, 2017 to Jun 21, 2017", 23 min. per ep., The Royal Tutor, 12,"Slice of Life, Comedy, Historical, Shounen", 王室教師ハイネ,Funimation ,"TV Tokyo,       Square Enix,       Sotsu,       TV Osaka,       AT-X,       DAX Production,       TV Tokyo Music,       Avex Pictures,       BS Japan,       Dai Nippon Printing,       Contents Seed,       A-Sketch ",  #1433, PG-13 - Teens 13 or older,7.581 , Manga,TV
1433," Jan 31, 2012", 24 min.,nan, 1,"Comedy, Mystery, Parody, Shounen", さよなら絶望先生,"    None found, add some ","    None found, add some ",  #1434, R - 17+ (violence & profanity),7.581 , Manga,Special
1434," May 2, 2018", 23 min.,nan, 1,"Drama, Shounen", 食戟のソーマ 餐ノ皿 極星寮のえりな,"    None found, add some ","    None found, add some ",  #1435, PG-13 - Teens 13 or older,7.581 , Manga,OVA
1435," Oct 5, 1996 to Sep 27, 1997", 24 min. per ep., You're Under Arrest (1996), 47,"Action, Comedy, Police, Seinen", 逮捕しちゃうぞ (1996),AnimEigo ,"Bandai Visual,       TBS,       Kodansha,       Nichion ",  #1436, PG-13 - Teens 13 or older,7.581 , Manga,TV
1436," Nov 23, 2011 to Oct 24, 2012", 36 min. per ep.,nan, 3,"Action, Adventure, Magic, Martial Arts, Fantasy", テイルズ オブ シンフォニア THE ANIMATION 世界統合編,"    None found, add some ","    None found, add some ",  #1437, PG-13 - Teens 13 or older,7.581 , Game,OVA
1437," Oct 13, 1999 to Mar 27, 2003", 24 min. per ep., The Big O, 26,"Action, Sci-Fi, Mystery, Psychological, Mecha", THEビッグオー,"Bandai Entertainment,       Sentai Filmworks ",Bandai Visual ,  #1438, PG-13 - Teens 13 or older,7.581 , Original,TV
1438," Oct 9, 2013 to Nov 7, 2014", 28 min. per ep.,nan, 3,"Action, Magic, Comedy, Super Power, Supernatural, Shounen", 夜桜四重奏 ツキニナク,"    None found, add some ","    None found, add some ",  #1439, PG-13 - Teens 13 or older,7.581 , Manga,OVA
1439," Oct 8, 2017 to Dec 24, 2017", 23 min. per ep., BLEND-S, 12,"Slice of Life, Comedy", ブレンド・S,Aniplex of America ,"Aniplex,       Houbunsha,       Kansai Telecasting,       Lawson,       Contents Seed,       Kinoshita Group Holdings,       Drecom ",  #1440, PG-13 - Teens 13 or older,7.571 , 4-koma manga,TV
1440," Nov 8, 2003 to Sep 30, 2005", 25 min. per ep., Bobobo-bo Bo-bobo, 76,"Sci-Fi, Adventure, Comedy, Shounen", ボボボーボ・ボーボボ,"Viz Media,       Discotek Media ","Avex Entertainment,       Dentsu,       TV Asahi ",  #1441, PG-13 - Teens 13 or older,7.571 , Manga,TV
1441," Jun 2, 2017", 25 min.,nan, 1,"Action, Comedy, Super Power, School, Shounen", 僕のヒーローアカデミア トレーニング・オブ・ザ・デッド,"    None found, add some ","    None found, add some ",  #1442, PG-13 - Teens 13 or older,7.571 , Manga,OVA
1442," Jan 11, 2013 to Mar 29, 2013", 24 min. per ep., Haganai: I don't have many friends NEXT, 12,"Harem, Slice of Life, Comedy, Romance, School", 僕は友達が少ない NEXT,Funimation ,"Media Factory,       TBS,       Magic Capsule,       Good Smile Company ",  #1443, R+ - Mild Nudity,7.571 , Light novel,TV
1443," Oct 4, 2012 to Dec 20, 2012", 24 min. per ep., BTOOOM!, 12,"Action, Sci-Fi, Psychological, Seinen", BTOOOM!,Sentai Filmworks ,"Sotsu,       KlockWorx,       flying DOG,       Showgate ",  #1444, R - 17+ (violence & profanity),7.571 , Manga,TV
1444," Oct 1, 1976 to Feb 2, 1979", 25 min. per ep.,nan, 115,"Slice of Life, Drama, Shoujo", キャンディ・キャンディ,"    None found, add some ","    None found, add some ",  #1445, G - All Ages,7.571 , Unknown,TV
1445," Jun 19, 2013", 24 min.," Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel", 1,"Slice of Life, Comedy, Drama, Romance, School", 中二病でも恋がしたい! 煌めきの... 聖爆誕祭（スラップステック・ノエル）,Sentai Filmworks ,"Lantis,       Pony Canyon,       TBS,       Rakuonsha ",  #1446, PG-13 - Teens 13 or older,7.571 , Light novel,Special
1446," Oct 26, 2007", 5 min.,nan, 1,"Action, Fantasy, Magic, Comedy, Romance, Music, Drama", CLAMP IN WONDERLAND 2,"    None found, add some ",Victor Entertainment ,  #1447, G - All Ages,7.571 , Unknown,  Music
1447," Jul 4, 2013 to Sep 26, 2013", 24 min. per ep., Free! - Iwatobi Swim Club, 12,"Slice of Life, Comedy, Sports, Drama, School", Free!,"Funimation,       Discotek Media,       Crunchyroll ","Lantis,       Iwatobi High School Swimming Club,       Asahi Broadcasting ",  #1448, PG-13 - Teens 13 or older,7.571 , Original,TV
1448," Jan 9, 2017 to Mar 27, 2017", 23 min. per ep., Gabriel DropOut, 12,"Comedy, Demons, Supernatural, School, Shounen", ガヴリールドロップアウト,"    None found, add some ","Media Factory,       AT-X,       Sony Music Communications,       Kadokawa Media House,       NTT Plala ",  #1449, PG-13 - Teens 13 or older,7.571 , Manga,TV
1449," Mar 12, 1987 to Feb 18, 1988", 25 min. per ep., Fist of the North Star 2, 43,"Action, Drama, Martial Arts, Super Power", 北斗の拳2,Discotek Media ,"    None found, add some ",  #1450, R - 17+ (violence & profanity),7.571 , Manga,TV
1450," Jul 15, 1989", 1 hr. 39 min., Patlabor: The Movie, 1,"Military, Police, Drama, Mecha", 機動警察パトレイバー the Movie,"Maiden Japan,       Manga Entertainment,       Bandai Visual USA ","Bandai Visual,       Shochiku,       Bandai,       Tohokushinsha Film Corporation ",  #1451, PG-13 - Teens 13 or older,7.571 , Original,Movie
1452," Nov 12, 2016", 50 min.,nan, 1,"Slice of Life, Comedy, School, Seinen", きんいろモザイク Pretty Days,"    None found, add some ",Genco ,  #1453, PG-13 - Teens 13 or older,7.571 , 4-koma manga,Movie
1453," Apr 27, 2016", 7 min.,nan, 1,Music, 恋になりたいAQUARIUM,"    None found, add some ",Lantis ,  #1454, PG-13 - Teens 13 or older,7.571 , Music,  Music
1454," Jan 11, 2011 to Mar 30, 2011", 24 min. per ep., Is This a Zombie?, 12,"Action, Comedy, Ecchi, Harem, Magic, Supernatural", これはゾンビですか?,Funimation ,"Kadokawa Shoten,       AT-X,       Kadokawa Pictures Japan,       KlockWorx,       flying DOG ",  #1455, R - 17+ (violence & profanity),7.571 , Light novel,TV
1455," Oct 26, 2007 to Mar 28, 2008", 25 min. per ep.,nan, 5,"Adventure, Comedy, Demons, Fantasy, Shoujo", 今日からマ王！R,"    None found, add some ","    None found, add some ",  #1456, PG-13 - Teens 13 or older,7.571 , Light novel,OVA
1456," Apr 1, 2009 to Mar 25, 2012", 25 min. per ep., Kaasan: Mom's Life, 142,"Slice of Life, Comedy", 毎日かあさん,"    None found, add some ",Nihon Ad Systems ,  #1457, PG - Children,7.571 , Manga,TV
1457," Jun 22, 2007", 4 min. per ep.,nan, 4,"Parody, Comedy", たねきゃら劇場,"    None found, add some ","    None found, add some ",  #1458, PG-13 - Teens 13 or older,7.571 , Original,Special
1458," Apr 9, 1982 to May 13, 1983", 24 min. per ep.,nan, 49,"Adventure, Comedy, Romance, Shoujo, Shounen Ai", パタリロ！,"    None found, add some ","    None found, add some ",  #1459, PG - Children,7.571 , Manga,TV
1459," Jun 5, 1983 to Feb 26, 1984", 25 min. per ep., Plastic Model Wrestling Sanshiro, 37,"Adventure, Sports, Mecha, School, Sci-Fi, Shounen", プラレス３四郎,"    None found, add some ","Asatsu DK,       Kaname Productions ",  #1460, PG-13 - Teens 13 or older,7.571 , Manga,TV
1460," Dec 9, 2016 to Feb 2, 2017", 4 min. per ep., Pokémon Generations, 18,"Action, Adventure, Fantasy, Game, Kids", ポケモンジェネレーションズ,The Pokemon Company International ,"    None found, add some ",  #1461, PG - Children,7.571 , Game,ONA
1461," Jun 12, 2004 to Dec 25, 2004", 26 min. per ep., Samurai 7, 26,"Historical, Mecha, Samurai, Sci-Fi", サムライセブン,Funimation ,"GDH,       Sotsu Music Publishing ",  #1462, PG-13 - Teens 13 or older,7.571 , Other,TV
1462," Aug 27, 2008", 56 min.,nan, 1,"Comedy, Parody, School", さよなら絶望先生 序〜俗・絶望少女撰集〜,"    None found, add some ","    None found, add some ",  #1463, PG-13 - Teens 13 or older,7.571 , Manga,Special
1463," Nov 3, 2008 to Jan 5, 2009", 40 sec. per ep., Seto no Hanayome OVA Extras, 2,"Comedy, Parody, School", 瀬戸の花嫁 OVA Extras,"    None found, add some ","    None found, add some ",  #1464, PG-13 - Teens 13 or older,7.571 , Manga,Special
1464," Feb 14, 2009 to May 8, 2009", 5 min. per ep., The Melancholy of Haruhi-chan Suzumiya, 25,"Comedy, Parody", 涼宮ハルヒちゃんの憂鬱,"Funimation,       Bandai Entertainment ",Kadokawa Shoten ,  #1465, PG-13 - Teens 13 or older,7.571 , 4-koma manga,ONA
1465," Jan 29, 2005", 30 min., Prince of Tennis: Atobe Kara no Okurimono, 1,"Comedy, Sports, Shounen", テニスの王子様 跡部からの贈り物 君に捧げるテニプリ祭り,"    None found, add some ","Production I.G,       Nihon Ad Systems ",  #1466, PG-13 - Teens 13 or older,7.571 , Manga,Movie
1466," Dec 17, 2014 to May 15, 2015", 30 min. per ep.,nan, 2,"Comedy, Romance, School, Shounen", 山田くんと7人の魔女 OAD,"    None found, add some ",Kodansha ,  #1467, PG-13 - Teens 13 or older,7.571 , Manga,OVA
1467," Oct 6, 2013 to Dec 29, 2013", 23 min. per ep.,nan, 13,"Action, Comedy, Magic, Shounen, Super Power, Supernatural", 夜桜四重奏 ~ハナノウタ~,"    None found, add some ","    None found, add some ",  #1468, PG-13 - Teens 13 or older,7.571 , Manga,TV
1469," Jul 6, 2014 to Sep 21, 2014", 23 min. per ep., Aldnoah.Zero, 12,"Action, Military, Sci-Fi, Mecha", アルドノア・ゼロ,Aniplex of America ,"Aniplex,       Movic,       Nitroplus,       Houbunsha,       MAGES.,       Tokyo MX,       Asahi Broadcasting,       BS11 ",  #1470, R - 17+ (violence & profanity),7.561 , Original,TV
1470," Jul 5, 2016 to Sep 20, 2016", 24 min. per ep., Sweetness & Lightning, 12,"Comedy, Slice of Life, Seinen", 甘々と稲妻,"    None found, add some ","Toei Video,       Kodansha,       Shin-Ei Animation,       DAX Production,       Asmik Ace,       Yomiuri TV Enterprise,       Sumitomo ",  #1471, PG-13 - Teens 13 or older,7.561 , Manga,TV
1471," Apr 3, 2018 to ?", 22 min. per ep.,nan, 52,"Action, Sports, Shounen", キャプテン翼,Viz Media ,"TV Tokyo,       Warner Bros.,       NAZ,       Shueisha ",  #1472, G - All Ages,7.561 , Manga,TV
1472," Oct 9, 2009 to Dec 25, 2009", 24 min. per ep., Darker than Black: Gemini of the Meteor, 12,"Action, Sci-Fi, Mystery, Super Power", DARKER THAN BLACK 流星の双子,Funimation ,"Aniplex,       Square Enix,       Mainichi Broadcasting System,       Movic,       Sakura Create ",  #1473, R - 17+ (violence & profanity),7.561 , Original,TV
1473," Apr 22, 2005 to ?", 25 min.,nan, Unknown,"Sci-Fi, Comedy, Kids, Shounen", ドラえもん (2005),"    None found, add some ",TV Asahi ,  #1474, PG - Children,7.561 , Manga,TV
1474," Mar 30, 2013", 1 hr. 25 min., Dragon Ball Z: Battle of Gods, 1,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power", ドラゴンボールZ 神と神,Funimation ,"    None found, add some ",  #1475, PG-13 - Teens 13 or older,7.561 , Manga,Movie
1475," Oct 21, 1987 to Mar 30, 1988", 24 min. per ep., Grimm's Fairy Tale Classics, 24,"Adventure, Comedy, Kids, Magic, Fantasy", グリム名作劇場,Saban Entertainment ,"    None found, add some ",  #1476, G - All Ages,7.561 , Other,TV
1476," Jul 3, 2015 to Oct 9, 2015", 5 min. per ep., Hetalia: The World Twinkle, 15,"Comedy, Historical, Parody", ヘタリア The World Twinkle,Funimation ,Frontier Works ,  #1477, PG-13 - Teens 13 or older,7.561 , Manga,ONA
1477," Oct 18, 2007", 24 min. per ep.,nan, 2,"Slice of Life, Comedy, School, Seinen", ひだまりスケッチ 特別編,Sentai Filmworks ,Lantis ,  #1478, PG-13 - Teens 13 or older,7.561 , 4-koma manga,Special
1478," Apr 13, 2018 to Jun 29, 2018", 24 min. per ep., Dragon Pilot: Hisone and Masotan, 12,"Comedy, Drama, Fantasy, Military", ひそねとまそたん,"    None found, add some ","Warner Bros.,       BS Fuji,       Hakuhodo DY Music & Pictures ",  #1479, PG-13 - Teens 13 or older,7.561 , Original,TV
1479," May 11, 2011", 13 min., Maid Sama!: Omake dayo, 1,"Comedy, School, Shoujo", 会長はメイド様！おまけだよ！,Sentai Filmworks ,"    None found, add some ",  #1480, PG-13 - Teens 13 or older,7.561 , Manga,Special
1480," Nov 23, 2005 to Mar 29, 2006", 26 min. per ep., The Goddess is a Middle School Student, 4,"Slice of Life, Comedy, Supernatural, Drama", かみちゅ!,"Funimation,       Geneon Entertainment USA ",Geneon Universal Entertainment ,  #1481, PG - Children,7.561 , Original,Special
1481," Oct 6, 2018 to ?", Unknown,nan, 12,"Action, Comedy, Romance, School, Shounen", 寄宿学校のジュリエット,"    None found, add some ","    None found, add some ",  #1482, PG-13 - Teens 13 or older,7.561 , Manga,TV
1482," Jan 13, 2017 to Mar 31, 2017", 22 min. per ep., Scum's Wish, 12,"Drama, Romance, Ecchi, School, Seinen", クズの本懐,Sentai Filmworks ,"Aniplex,       Dentsu,       Square Enix,       Studio Hibari,       Fuji TV,       Kyoraku Industrial Holdings,       Kansai Telecasting ",  #1483, R+ - Mild Nudity,7.561 , Manga,TV
1483," Dec 28, 2013", 1 hr. 40 min., Magical Sisters Yoyo & Nene, 1,"Fantasy, Magic", 魔女っこ姉妹のヨヨとネネ,"    None found, add some ","Aniplex,       Starchild Records,       Tokuma Shoten ",  #1484, G - All Ages,7.561 , Manga,Movie
1484," Oct 8, 2010", 1 hr. 10 min., Mardock Scramble: The First Compression, 1,"Action, Sci-Fi, Psychological", マルドゥック・スクランブル 圧縮,Sentai Filmworks ,"Aniplex,       Starchild Records ",  #1485, R+ - Mild Nudity,7.561 , Novel,Movie
1485," Oct 11, 2012 to Dec 27, 2012", 24 min. per ep., Medaka Box Abnormal, 12,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power", めだかボックス アブノーマル,Sentai Filmworks ,"TV Tokyo,       Lantis,       Hakoniwa Academy Student Council ",  #1486, PG-13 - Teens 13 or older,7.561 , Manga,TV
1486," Jun 23, 2009", 25 min.,nan, 1,"Comedy, Slice of Life", みなみけ べつばら,"    None found, add some ","    None found, add some ",  #1487, PG-13 - Teens 13 or older,7.561 , Manga,OVA
1487," Dec 12, 2009", 1 hr. 29 min.,nan, 1,"Drama, Historical, Psychological, Seinen", 人間失格 ディレクターズカット版,"    None found, add some ","    None found, add some ",  #1488, R - 17+ (violence & profanity),7.561 , Novel,Movie
1488," Jul 19, 2007", 5 min.,nan, 1,"Slice of Life, Romance, Music, Drama"," One More Time, One More Chance","    None found, add some ",CoMix Wave Films ,  #1489, PG-13 - Teens 13 or older,7.561 , Original,  Music
1489," Oct 5, 2010 to Dec 28, 2010", 24 min. per ep., Zakuro, 13,"Demons, Historical, Military, Romance, Seinen, Supernatural", おとめ妖怪 ざくろ,"NIS America, Inc. ",Aniplex ,  #1490, PG-13 - Teens 13 or older,7.561 , Manga,TV
1490," Mar 10, 1992", 2 hr. 15 min., Ramayana: The Legend of Prince Rama, 1,Adventure, ラーマヤーナ ラーマ王子伝説,"    None found, add some ","    None found, add some ",  #1491, G - All Ages,7.561 , Unknown,Movie
1491," Jul 3, 2013 to Sep 25, 2013", 4 min. per ep.,nan, 13,"Action, Comedy, Fantasy, Parody, Shounen", 戦勇。2,"    None found, add some ","TV Tokyo,       Bandai Visual,       Lantis,       Barnum Studio,       Dwango,       Good Smile Company ",  #1492, PG-13 - Teens 13 or older,7.561 , Web manga,TV
1492," Jan 6, 2008 to Mar 23, 2008", 24 min. per ep., Shigofumi: Letters from the Departed, 12,"Psychological, Supernatural, Drama, Thriller, Fantasy", シゴフミ,Sentai Filmworks ,"Bandai Visual,       Genco,       Lantis,       Rakuonsha ",  #1493, R - 17+ (violence & profanity),7.561 , Original,TV
1494," Jan 21, 1994 to Jan 24, 1997", 46 min. per ep.,nan, 5,"Action, Comedy, School", 湘南純愛組!,"    None found, add some ",Japan Home Video ,  #1495, R+ - Mild Nudity,7.561 , Manga,OVA
1495," Jul 8, 2017 to Dec 23, 2017", 24 min. per ep., Altair: A Record of Battles, 24,"Adventure, Historical, Drama, Fantasy, Shounen", 将国のアルタイル,"    None found, add some ","Aniplex,       Mainichi Broadcasting System,       Kodansha,       Lucent Pictures Entertainment,       Hakuhodo DY Music & Pictures,       Lawson,       GYAO!,       Kanetsu Co., LTD. ",  #1496, PG-13 - Teens 13 or older,7.561 , Manga,TV
1496," Oct 5, 2009 to Dec 28, 2009", 24 min. per ep., Heaven's Lost Property, 13,"Sci-Fi, Harem, Comedy, Supernatural, Romance, Ecchi, Shounen", そらのおとしもの,Funimation ,"Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       NTT Docomo ",  #1497, PG-13 - Teens 13 or older,7.561 , Manga,TV
1497," Nov 28, 2012", 24 min., Dusk Maiden of Amnesia: Ghost Girl, 1,"Horror, Mystery, Romance, School, Shounen, Supernatural", 黄昏乙女×アムネジア 退魔乙女,Sentai Filmworks ,"    None found, add some ",  #1498, R - 17+ (violence & profanity),7.561 , Manga,Special
1498," Sep 3, 2011", 1 hr. 27 min.,nan, 1,"Action, Comedy, Sports, School, Shounen", 劇場版テニスの王子様 英国式庭球城決戦！,"    None found, add some ",Nihon Ad Systems ,  #1499, PG-13 - Teens 13 or older,7.561 , Manga,Movie
1499," Apr 6, 2002 to Mar 29, 2003", 24 min. per ep., Cheeky Angel, 50,"Comedy, Magic, Romance, Shounen", 天使な小生意気,"    None found, add some ","    None found, add some ",  #1500, PG-13 - Teens 13 or older,7.561 , Manga,TV
1500," Oct 14, 1978 to Apr 7, 1979", 24 min. per ep., Star Blazers: The Comet Empire, 26,"Action, Adventure, Drama, Military, Sci-Fi, Space", 宇宙戦艦ヤマト2,"    None found, add some ","Academy Productions,       Yomiuri Advertising ",  #1501, PG-13 - Teens 13 or older,7.561 , Original,TV
1501," Oct 13, 1982 to Mar 30, 1983", 25 min. per ep., Endless Orbit SSX, 22,"Action, Adventure, Drama, Sci-Fi, Space", わが青春のアルカディア・無限軌道ＳＳＸ,Discotek Media ,TBS ,  #1502, PG-13 - Teens 13 or older,7.561 , Unknown,TV
1502," Jul 9, 2014 to Dec 24, 2014", 13 min. per ep., Encouragement of Climb Season 2, 24,"Adventure, Comedy, Slice of Life", ヤマノススメ セカンドシーズン,"    None found, add some ","Earth Star Entertainment,       Tokyo MX,       Good Smile Company,       Yomiuri TV Enterprise,       Jinnan Studio,       Radio Osaka,       TSUTAYA,       Ashisuto ",  #1503, PG-13 - Teens 13 or older,7.561 , Manga,TV
1503," Jul 3, 2018 to Sep 25, 2018", 13 min. per ep., Encouragement of Climb Season 3, 13,"Adventure, Comedy, Slice of Life", ヤマノススメ サードシーズン,"    None found, add some ","Tokyo MX,       Good Smile Company,       Yomiuri TV Enterprise,       Jinnan Studio,       Radio Osaka,       Top Marshal,       Aeon Entertainment ",  #1504, PG-13 - Teens 13 or older,7.561 , Manga,TV
1504," Oct 16, 1989 to Sep 21, 1992", 25 min. per ep.,nan, 124,"Action, Slice of Life, Martial Arts, Sports, Comedy, Romance, Drama", YAWARA!,AnimEigo ,Kitty Films ,  #1505, PG-13 - Teens 13 or older,7.561 , Manga,TV
1505," Sep 9, 2016", 1 hr.,nan, 1,"Comedy, Sports, Drama, Shounen", 弱虫ペダル SPARE BIKE,"    None found, add some ","    None found, add some ",  #1506, PG-13 - Teens 13 or older,7.561 , Manga,Movie
1507," Jan 6, 2012 to Mar 30, 2012", 24 min. per ep., Amagami SS+ plus, 13,"Slice of Life, Comedy, Romance, School", アマガミSS+ plus,Sentai Filmworks ,TBS ,  #1508, PG-13 - Teens 13 or older,7.551 , Visual novel,TV
1508," Dec 16, 2006", 1 hr. 33 min., Bleach the Movie: Memories of Nobody, 1,"Action, Adventure, Super Power", 劇場版 BLEACH MEMORIES OF NOBODY,Viz Media ,"TV Tokyo,       Dentsu,       Shueisha ",  #1509, PG-13 - Teens 13 or older,7.551 , Manga,Movie
1509," Dec 22, 2007", 1 hr. 32 min., Bleach the Movie: The DiamondDust Rebellion, 1,"Action, Adventure, Supernatural, Shounen", 劇場版 BLEACH The DiamondDust Rebellion もう一つの氷輪丸,Viz Media ,Shueisha ,  #1510, PG-13 - Teens 13 or older,7.551 , Manga,Movie
1510," Apr 4, 2017", 25 min.,nan, 1,"Action, Comedy, School, Shounen, Super Power", 僕のヒーローアカデミア救え!救助訓練!,"    None found, add some ","    None found, add some ",  #1511, PG-13 - Teens 13 or older,7.551 , Manga,OVA
1511," Mar 30, 2016", 24 min.,nan, 1,"Super Power, Drama, School", Charlotte（シャーロット）特別篇 強い者たち,Aniplex of America ,Aniplex ,  #1512, PG-13 - Teens 13 or older,7.551 , Original,Special
1512," Sep 17, 2014", 24 min.," Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars", 1,"Comedy, Drama, Romance, School, Slice of Life", 中二病でも恋がしたい！戀 再生の･･･邪王真眼黙示録（The Rikka Wars）,Sentai Filmworks ,Lantis ,  #1513, PG-13 - Teens 13 or older,7.551 , Light novel,Special
1513," Jul 28, 2006", 16 min.,nan, 1,"Adventure, Comedy, Mystery, Police, Shounen", 名探偵コナン コナンvsキッド 漆黒の狙撃者(スナイパー),"    None found, add some ","    None found, add some ",  #1514, PG - Children,7.551 , Unknown,Movie
1514," Aug 1, 1996 to Jul 25, 1997", 30 min. per ep.,nan, 8,"Drama, Sci-Fi, Shounen, Sports", 新世紀ＧＰＸサイバーフォーミュラＳＡＧＡ,"    None found, add some ","    None found, add some ",  #1515, R+ - Mild Nudity,7.551 , Unknown,OVA
1515," Jun 22, 2013", 58 min., Ghost in the Shell: Arise - Border 1: Ghost Pain, 1,"Mecha, Police, Psychological, Sci-Fi", 攻殻機動隊ARISE -GHOST IN THE SHELL- border:1 Ghost Pain,Funimation ,Bandai Visual ,  #1516, R - 17+ (violence & profanity),7.551 , Manga,Movie
1517," Jul 1, 2017 to Sep 23, 2017", 24 min. per ep., Kakegurui: Compulsive Gambler, 12,"Drama, Game, Mystery, Psychological, School, Shounen", 賭ケグルイ,"    None found, add some ","Dentsu,       Square Enix,       Movic,       KlockWorx,       DIVE II Entertainment,       81 Produce,       Furyu ",  #1518, R - 17+ (violence & profanity),7.551 , Manga,TV
1518," Apr 2, 2018 to Sep 24, 2018", 23 min. per ep., Kakuriyo: Bed & Breakfast for Spirits, 26,"Demons, Supernatural", かくりよの宿飯,Funimation ,"flying DOG,       Kadokawa ",  #1519, PG-13 - Teens 13 or older,7.551 , Novel,TV
1519," Mar 25, 2007", 29 min.,nan, 1,"Harem, Music, Romance, School, Shoujo", 金色のコルダ ~primo passo~ ひと夏のアンコール,Sentai Filmworks ,"Aniplex,       Yumeta Company,       Hakusensha,       Koei ",  #1520, G - All Ages,7.551 , Unknown,Special
1520," Oct 6, 1999 to Mar 29, 2000", 23 min. per ep., Infinite Ryvius, 26,"Drama, Mecha, Military, Psychological, Sci-Fi, Space", 無限のリヴァイアス,"Bandai Entertainment,       Sentai Filmworks ","TV Tokyo,       Bandai Visual,       Yomiko Advertising ",  #1521, PG-13 - Teens 13 or older,7.551 , Original,TV
1521," Aug 10, 2009", 21 min.,nan, 1,"Comedy, Josei, Music, Romance, Slice of Life", のだめカンタービレ OVA,"    None found, add some ","    None found, add some ",  #1522, PG-13 - Teens 13 or older,7.551 , Unknown,OVA
1522," Jul 15, 1995", 6 min., On Your Mark, 1,"Drama, Music, Sci-Fi", On Your Mark CHAGE & ASKA,"    None found, add some ","    None found, add some ",  #1523, G - All Ages,7.551 , Music,  Music
1523," Feb 22, 2011 to May 31, 2011", 28 min. per ep., OreImo Specials, 4,"Slice of Life, Comedy", 俺の妹がこんなに可愛いわけがない,Aniplex of America ,Aniplex ,  #1524, PG-13 - Teens 13 or older,7.551 , Light novel,ONA
1524," Aug 22, 2012", 30 min.,nan, 1,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School", ペルソナ4アニメーション,Sentai Filmworks ,Aniplex ,  #1525, PG-13 - Teens 13 or older,7.551 , Game,Special
1525," Apr 9, 2011 to Mar 31, 2012", 23 min. per ep.,nan, 51,"Slice of Life, Sports, Music, Shoujo", プリティーリズム オーロラドリーム,"    None found, add some ","    None found, add some ",  #1526, PG - Children,7.551 , Game,TV
1526," Apr 8, 2017 to Sep 30, 2017", 23 min. per ep., Rage of Bahamut: Virgin Soul, 24,"Action, Adventure, Demons, Supernatural, Magic, Fantasy", 神撃のバハムート VIRGIN SOUL,"    None found, add some ",Cygames ,  #1527, R - 17+ (violence & profanity),7.551 , Game,TV
1527," Oct 5, 2010 to Dec 21, 2010", 24 min. per ep., The Squid Girl, 12,"Comedy, Shounen, Slice of Life", 侵略!イカ娘,"Media Blasters,       Sentai Filmworks ","TV Tokyo,       Lantis,       Pony Canyon,       Studio Jack ",  #1528, PG-13 - Teens 13 or older,7.551 , Manga,TV
1528," Oct 6, 2007 to Sep 27, 2008", 24 min. per ep., Shugo Chara!, 51,"Comedy, Magic, School, Shoujo", しゅごキャラ！,"    None found, add some ","TV Tokyo,       Sotsu,       Pony Canyon ",  #1529, PG - Children,7.551 , Manga,TV
1529," Oct 4, 2008 to Sep 25, 2009", 24 min. per ep., Shugo Chara!! Doki, 51,"Comedy, Magic, School, Shoujo", しゅごキャラ！！どきっ,"    None found, add some ","TV Tokyo,       Sotsu ",  #1530, PG - Children,7.551 , Manga,TV
1530," Sep 9, 2010", 24 min., Heaven's Lost Property OVA, 1,"Sci-Fi, Harem, Comedy, Supernatural, Ecchi, Shounen", そらのおとしもの プロジェクト桃源郷[ピンク],Funimation ,NTT Docomo ,  #1531, PG-13 - Teens 13 or older,7.551 , Manga,OVA
1531," Jul 3, 2013 to Sep 18, 2013", 24 min. per ep.,nan, 12,"Comedy, Drama, Slice of Life", たまゆら ～もあぐれっしぶ～,"    None found, add some ",RAY ,  #1532, G - All Ages,7.551 , Original,TV
1532," Apr 11, 2008 to Jun 27, 2008", 23 min. per ep., Library Wars, 12,"Action, Military, Comedy, Romance", 図書館戦争,Discotek Media ,"Fuji TV,       Code,       Asmik Ace,       ASCII Media Works,       Sony Music Entertainment,       Atelier Musa ",  #1533, PG-13 - Teens 13 or older,7.551 , Novel,TV
